Feature,Importance
AFFILIATION_CompanySponsored,0.1187
APPLICATION_TYPE_T5,0.0189
AFFILIATION_Independent,0.0186
APPLICATION_TYPE_Other,0.0138
ORGANIZATION_Association,0.0126
APPLICATION_TYPE_T6,0.0109
CLASSIFICATION_C3000,0.0090
CLASSIFICATION_Other,0.0078
INCOME_AMT_1M-5M,0.0039
ORGANIZATION_Trust,0.0038
INCOME_AMT_10M-50M,0.0037
APPLICATION_TYPE_T4,0.0026
CLASSIFICATION_C1000,0.0023
APPLICATION_TYPE_T7,0.0023
CLASSIFICATION_C2100,0.0022
CLASSIFICATION_C2000,0.0018
APPLICATION_TYPE_T3,0.0016
INCOME_AMT_50M+,0.0016
USE_CASE_ProductDev,0.0014
CLASSIFICATION_C1200,0.0013
INCOME_AMT_5M-10M,0.0013
INCOME_AMT_100000-499999,0.0012
APPLICATION_TYPE_T8,0.0011
APPLICATION_TYPE_T19,0.0011
USE_CASE_CommunityServ,0.0009
USE_CASE_Preservation,0.0009
INCOME_AMT_1-9999,0.0009
ASK_AMT,0.0008
ORGANIZATION_Co-operative,0.0008
INCOME_AMT_10000-24999,0.0004
USE_CASE_Heathcare,0.0003
USE_CASE_Other,-0.0000
ORGANIZATION_Corporation,-0.0001
AFFILIATION_National,-0.0003
