Feature,Importance
AFFILIATION_CompanySponsored,0.0540
AFFILIATION_Independent,0.0511
APPLICATION_TYPE_T5,0.0227
APPLICATION_TYPE_Other,0.0176
ORGANIZATION_Trust,0.0143
ORGANIZATION_Association,0.0117
APPLICATION_TYPE_T6,0.0111
CLASSIFICATION_Other,0.0060
INCOME_AMT_10M-50M,0.0040
INCOME_AMT_1M-5M,0.0037
CLASSIFICATION_C3000,0.0035
USE_CASE_Preservation,0.0023
CLASSIFICATION_C2000,0.0019
ORGANIZATION_Co-operative,0.0017
USE_CASE_ProductDev,0.0016
INCOME_AMT_5M-10M,0.0015
APPLICATION_TYPE_T4,0.0014
APPLICATION_TYPE_T3,0.0013
INCOME_AMT_50M+,0.0011
CLASSIFICATION_C1200,0.0011
CLASSIFICATION_C1000,0.0011
CLASSIFICATION_C2100,0.0010
INCOME_AMT_100000-499999,0.0008
ORGANIZATION_Corporation,0.0006
USE_CASE_CommunityServ,0.0005
USE_CASE_Heathcare,0.0005
INCOME_AMT_10000-24999,0.0003
APPLICATION_TYPE_T19,0.0003
AFFILIATION_National,0.0002
ASK_AMT,0.0001
APPLICATION_TYPE_T8,0.0001
INCOME_AMT_1-9999,0.0001
USE_CASE_Other,0.0001
